Source,Target,Weight
91,2950,1
91,4125,1
91,6187,1
91,6224,1
91,8362,2
92,2059,1
92,4473,1
92,4683,2
92,6351,4
92,6761,2
92,8979,3
92,9029,2
92,9344,1
92,11716,1
94,3254,1
94,7847,1
94,8610,1
94,10398,1
94,10615,1
94,12084,1
96,650,1
96,1077,3
96,2153,1
96,2443,1
96,4240,3
96,4527,1
96,5146,3
96,6547,1
96,8044,1
96,10114,3
96,10476,1
96,10887,4
97,1923,1
97,8052,1
98,1248,6
98,3408,8
98,3926,1
98,3930,1
98,4140,1
98,4721,6
98,8564,1
98,8963,2
98,10334,1
99,4249,1
99,5423,1
100,725,21
100,1099,1
100,1132,2
100,1847,5
100,3256,1
100,5295,1
100,7092,2
100,8061,1
100,9331,1
100,10142,13
101,3136,1
101,3237,1
101,3902,3
101,4491,3
101,4629,3
101,4630,3
101,4931,3
101,7573,1
101,8496,1
101,10002,1
101,11271,1
101,11896,2
101,11941,3
103,2781,4
103,5980,3
103,6429,2
103,6512,1
103,9575,1
103,11109,1
104,1900,1
104,2850,1
104,4038,1
104,5609,2
104,5706,1
104,6858,14
104,6948,1
104,8108,1
104,8133,1
104,8551,1
104,9244,1
104,11719,1
104,12146,1
105,2597,2
105,5296,3
105,6184,1
106,1738,1
107,4737,1
107,10838,1
108,2705,1
108,2960,1
109,1270,1
109,1337,1
109,1412,1
109,2098,1
109,2274,2
109,3075,16
109,3411,2
109,3412,2
109,3424,1
109,3825,50
109,3869,1
109,4102,1
109,4546,6
109,4733,5
109,4737,1
109,4775,10
109,5647,1
109,5841,1
109,6561,38
109,6947,9
109,7020,4
109,7411,1
109,7471,1
109,8213,1
109,8251,3
109,8648,1
109,9038,1
109,9371,1
109,9468,1
109,9527,1
109,10478,1
109,10717,1
109,11230,1
109,11771,1
109,11892,1
110,4859,1
110,5538,3
110,5836,1
110,7424,3
110,10547,3
112,8709,1
115,9656,1
117,355,2
117,7168,22
117,7171,11
117,8570,1
117,11659,1
118,234,3
118,835,3
118,941,8
118,2130,3
118,2396,8
118,2895,1
118,5364,13
118,8610,3
118,10406,3
119,11801,1
121,140,1
121,801,1
121,5319,1
121,5490,3
121,7811,1
121,8348,1
121,9373,4
122,123,3
122,9120,1
123,468,23
123,1108,1
123,9120,1
123,10673,1
123,11423,6
123,11728,2
124,3404,1
124,3930,13
124,7014,1
124,9642,1
124,9721,4
126,1957,1
127,214,4
127,1399,3
127,3977,2
127,4493,7
127,4938,1
127,5483,1
127,5846,1
127,6525,8
127,8428,16
127,10767,1
127,11216,1
127,11589,4
127,11598,2
128,3296,1
128,3958,2
129,6931,11
129,6972,1
129,7801,4
129,9244,3
129,11142,9
129,11623,6
130,3941,1
130,8012,1
130,10134,1
130,12175,1
131,5631,1
131,9580,1
132,1403,1
132,1628,1
132,9507,2
132,10036,1
132,12177,1
133,300,3
133,410,3
133,456,3
133,1125,1
133,1776,1
133,2527,2
133,2968,1
133,3412,3
133,3800,8
133,3802,1
133,3808,8
133,4615,7
133,5142,1
133,6137,1
133,6437,2
133,6700,13
133,7575,1
133,7849,6
133,8908,12
133,9449,1
133,9725,1
133,9727,2
133,10562,3
133,10639,1
133,10896,2
133,11109,2
133,11316,3
133,11710,1
134,3293,1
134,3390,1
134,3662,1
134,3834,1
134,3863,1
134,3890,1
134,6189,1
134,6649,1
134,7041,1
134,9453,1
134,11129,1
134,11441,1
135,276,1
135,319,1
135,570,2
135,1081,1
135,1617,1
135,1776,1
135,1922,3
135,3230,1
135,3553,6
135,4274,4
135,6392,1
135,6776,1
135,7826,1
135,9449,1
135,9980,2
135,10901,4
136,218,1
136,453,3
136,717,1
136,1115,1
136,1200,1
136,1278,6
136,1315,2
136,1330,1
136,1558,3
136,1992,1
136,2367,8
136,2706,3
136,2714,1
136,2776,1
136,2802,6
136,2804,2
136,3018,1
136,3856,1
136,3908,2
136,4832,6
136,4981,1
136,4990,3
136,5011,3
136,5857,8
136,5945,13
136,5948,3
136,6065,2
136,6236,1
136,6373,5
136,6434,12
136,6934,1
136,7716,2
136,7779,2
136,7914,2
136,7918,1
136,8367,1
136,8480,3
136,8496,1
136,8634,1
136,8704,12
136,8994,3
136,9001,3
136,9011,1
136,9116,1
136,9335,2
136,9442,2
136,9460,13
136,9776,1
136,9805,1
136,9846,3
136,10030,4
136,10106,1
136,10367,1
136,10431,1
136,10756,1
136,10776,2
136,10793,1
136,10892,2
136,10968,2
136,11197,1
136,11372,5
136,11439,1
136,11590,1
136,11614,1
136,11959,7
137,2329,2
137,3089,2
137,7965,2
138,5244,1
138,6908,1
139,1922,33
139,1928,8
139,2391,3
139,4274,1
139,7916,2
139,11155,2
140,801,1
140,5319,1
140,6171,1
140,7811,1
140,8348,1
141,142,10
141,852,2
141,3055,2
141,10639,1
141,11143,5
142,336,1
142,882,9
142,943,1
142,1123,2
142,1213,2
142,2858,1
142,2939,1
142,2978,1
142,3301,8
142,3390,1
142,3412,1
142,3424,5
142,3444,3
142,3698,3
142,3898,1
142,3986,22
142,5113,1
142,6530,1
142,6694,17
142,6761,8
142,6804,3
142,6881,1
142,7020,2
142,7045,1
142,7482,1
142,7517,2
142,7630,3
142,7851,1
142,7982,2
142,8226,4
142,8419,4
142,8432,1
142,8464,8
142,8737,8
142,9610,11
142,10241,2
142,10287,1
142,10605,2
142,10607,1
142,10634,1
142,10639,20
142,11143,7
142,11668,1
143,1039,6
144,253,2
144,328,1
144,693,1
144,1108,2
144,1602,1
144,1605,1
144,2793,1
144,2856,2
144,3203,2
144,3206,2
144,3209,2
144,3683,2
144,3973,2
144,4172,1
144,4770,1
144,4945,1
144,5408,1
144,5444,2
144,5670,1
144,5677,1
144,5909,2
144,6016,2
144,6020,1
144,6372,2
144,6462,1
144,6511,2
144,6606,2
144,7737,2
144,7917,2
144,8644,2
144,8675,2
144,9443,1
144,9674,1
144,9714,2
144,9779,2
144,9936,1
144,10341,2
144,10376,2
144,10434,1
144,11015,1
144,11832,1
144,11891,1
144,12119,1
145,653,2
145,759,2
145,1048,1
145,1669,2
145,1674,1
145,2060,1
145,2924,2
145,3042,241
145,3526,2
145,3592,1
145,4595,2
145,5410,1
145,5561,2
145,5563,2
145,5727,1
145,6111,2
145,6190,238
145,6729,2
145,6750,1
145,6798,2
145,7370,2
145,7691,2
145,8460,2
145,11808,6
145,11948,1
145,12123,12
146,557,2
146,5299,7
146,7202,4
146,9599,8
146,11904,2
147,335,1
147,1191,1
147,2022,1
147,2262,3
147,3250,11
147,4275,2
147,6824,1
147,7956,1
147,9342,1
147,9422,1
148,1035,1
148,2959,1
148,3321,1
148,4435,2
148,6280,1
148,6616,1
149,1044,1
149,4080,1
149,6884,1
149,9109,1
150,3174,2
150,7900,1
151,7716,1
151,10903,1
152,682,1
152,7045,1
154,192,1
154,6269,1
154,8962,1
154,9744,1
155,844,1
155,1064,1
155,7857,2
155,9207,2
155,10263,1
157,520,1
157,3902,3
157,4931,3
157,6351,1
157,7153,1
157,10631,1
157,10668,1
157,11369,1
157,12231,1
158,6700,4
159,7988,1
159,11809,4
159,11840,3
160,9189,1
161,549,1
161,1022,1
161,1668,1
161,3473,1
161,5715,1
161,7673,1
161,7813,1
161,8952,1
161,8985,1
161,9031,1
161,9183,2
161,9722,1
161,10361,1
161,10470,1
161,10533,1
161,10907,1
161,11803,1
161,12129,1
161,12276,1
162,1909,1
162,4737,1
162,5945,1
162,6870,1
162,8634,1
163,2321,1
164,622,1
164,2069,1
164,4076,5
164,6005,7
164,7515,1
164,8130,1
164,9229,1
164,10053,1
164,10558,8
164,11585,2
164,11981,1
164,12291,1
165,928,2
165,1771,3
165,7082,3
165,8928,2
165,11846,3
165,12123,6
166,1059,1
166,2856,1
166,3203,1
166,5408,1
166,6016,1
166,6044,1
166,7737,1
166,8350,1
166,8728,1
166,9198,1
166,9222,2
166,9567,1
166,9779,1
166,9936,1
166,10100,1
166,10238,1
167,1087,12
167,1318,1
167,1497,1
167,1951,1
167,2307,1
167,2405,1
167,2761,1
167,2847,1
167,2905,1
167,3497,1
167,4249,7
167,5048,3
167,5401,2
167,5799,5
167,6064,2
167,6714,1
167,7925,1
167,8076,30
167,8705,37
167,9552,5
167,10401,11
167,11376,5
168,1691,21
168,2245,13
168,6716,1
168,8076,2
168,8668,5
168,11073,1
168,11308,2
169,484,16
169,666,1
169,892,15
169,1050,1
169,1101,1
169,1229,1
169,1390,2
169,2513,7
169,2765,2
169,2856,1
169,3101,1
169,3746,1
169,4112,1
169,4308,1
169,4469,1
169,4732,20
169,5301,1
169,5311,1
169,6175,10
169,6747,1
169,6817,1
169,6873,9
169,7033,1
169,7151,1
169,7265,14
169,7551,1
169,8956,1
169,8969,1
169,9275,1
169,9625,1
169,9725,1
169,9727,1
169,10067,1
169,10478,2
169,10506,24
169,10635,1
169,10643,1
169,10663,14
169,10698,1
169,10774,1
169,11274,1
169,11471,1
169,12007,1
169,12108,1
169,12286,2
170,689,1
170,5066,1
170,6055,1
171,6167,2
171,10058,2
171,10311,1
171,11305,2
172,4564,2
172,8806,2
172,10929,1
172,11489,2
172,12111,1
173,728,1
173,1086,1
173,7411,1
173,8825,1
173,12065,1
173,12202,1
174,2709,2
175,488,2
175,1076,1
175,1278,1
175,1437,1
175,1882,1
175,2058,4
175,2472,1
175,2632,1
175,2851,1
175,3312,1
175,3726,3
175,3919,4
175,4357,1
175,4473,1
175,4605,2
175,4613,1
175,4740,21
175,5406,4
175,5670,1
175,6221,2
175,6306,45
175,6379,1
175,6991,5
175,7158,2
175,7468,13
175,7539,1
175,8570,1
175,8704,3
175,8752,1
175,8753,2
175,8760,1
175,9460,16
175,9638,1
175,9859,2
175,9968,3
175,10305,2
175,10332,2
175,10485,2
175,10657,18
175,10743,1
175,10960,6
175,11168,26
175,11312,147
175,11604,6
175,11730,2
175,11734,75
175,11735,1
175,11760,54
175,11761,109
176,5113,4
176,6820,2
176,10259,3
176,11133,2
177,5497,1
178,821,1
178,4837,1
178,5543,1
178,9339,1
179,1403,1
179,3264,1
179,3294,1
179,4021,2
179,4049,1
179,4253,1
179,4254,1
179,5773,1
179,5974,2
179,7033,1
