Id,Label,Art_num
371,Dominik Bartoszewski,1
372,Marta Bartoszko,1
373,Tomasz Bartuś,51
374,Tomasz Bartyński,46
375,Agnieszka Bartyzel,18
376,Ewelina Bartyzel,1
377,Grzegorz Bartyzel,2
378,Jakub Bartyzel,57
379,Katarzyna Baruch,60
380,Dominik Barwacz,1
381,Wanda Barwicz-Piskorz,15
382,Stanisław Barycz,44
383,Bogusław Baś,469
384,Elżbieta Baś,1
385,Saliha Bashir,34
386,Iryna Bashynska,5
387,Alicja Basista,3
388,Grzegorz Basista,27
389,Izabela Basista,22
390,Aleksandra Basiura,4
391,Artur Basiura,16
392,Beata Basiura,38
393,Robert Basiura,1
394,Robert Basiura,5
395,Maciej Bassara,3
396,Dariusz Basta,1
397,Marta Basta-Grzywacz,1
398,Barbara Baster,5
399,Dominika Baster,62
400,Izabela Baster,1
401,Monika Baster,2
402,Mateusz Baszczyk,117
403,Wojciech Baszczyk,4
404,Marcin Baszyński,74
405,Piotr Bathelt,0
406,Natalia Batko,1
407,Paweł Batko,20
408,Paweł Batko,4
409,Roman Batko,2
410,Wojciech Batko,412
411,Adam Bator,36
412,Artur Bator,46
413,Jakub Bator,11
414,Karolina Bator,1
415,Sławomir Bator,2
416,Ewa Batorska,0
417,Anna Batory,1
418,Dorota Batycka-Gońka,5
419,Marcela Bauch,2
420,Stanisław Baudzis,3
421,Sylwia Bauer,2
422,Waldemar Bauer,87
423,Sonia Bazan,1
424,Jakub Bazarnik,34
425,Mirosława Bazarnik,21
426,Nina Bażela,2
427,Agnieszka Bazior,1
428,Grzegorz Bazior,28
429,Artur Bęben,80
430,Łukasz Bęben,2
431,Alina Bębenek,4
432,Sławomir Bębenek,33
433,Zbigniew Bębenek,14
434,Erjon Bebja,1
435,Marcin Bebłociński,2
436,Konrad Bęc,1
437,Ewa Beck-Krala,110
438,Roman Becker,4
439,Anna Będkowska,22
440,Adrian Bednarczyk,0
441,Alicja Bednarczyk,2
442,Józef Bednarczyk,53
443,Marcin Bednarczyk,0
444,Piotr Bednarczyk,9
445,Sebastian Bednarczyk,1
446,Sławomir Bednarczyk,10
447,Sylwester Bednarczyk,2
448,Wiktor Bednarczyk,49
449,Bogusław Bednarek,49
450,Kazimierz Bednarek,11
451,Łukasz Bednarek,43
452,Stanisław Bednarek,91
453,Sylwia Bednarek,92
454,Gabriela Bednarska,2
455,Krzysztof Bednarski,1
456,Łukasz Bednarski,100
457,Michał Bednarski,2
458,Mikołaj Bednarski,7
459,Jan Bednarz,2
460,Jarosław Bednarz,122
461,Karol Bednarz,0
462,Łukasz Bednarz,1
463,Marcin Bednarz,1
464,Marta Bednarz,1
465,Natalia Bednarz,1
466,Paulina Bednarz,16
467,Paweł Bednarz,4
468,Stanisław Bednarz,92
469,Szymon Bednorz,1
470,Dominika Behounek,1
471,Bogusława Bek-Gaik,93
472,Jakub Bekier,1
473,Lev Belava,6
474,Magdalena Belniak,3
475,Anna Belowska,1
476,Józef Beluch,34
477,Michał Bełzak,1
478,Michał Bembenek,132
479,Karolina Bender,0
480,Jakub Benduch,1
481,Piotr Benduch,45
482,Mateusz Benecki,1
483,Ryszard Benesch,4
484,Mariusz Benesz,39
485,Aleksandra Benko,82
486,Piotr Bera,48
487,Magdalena Berdel,2
488,Katarzyna Berent,170
489,Przemysław Bereski,3
490,Anna Berezicka,32
491,Marek J. Bergander,5
492,Robert Berger,1
493,Tomasz Bergier,137
494,Maciej Bernaś,5
495,Andrzej Bernasik,282
496,Jerzy Bernasik,19
497,Mikołaj Bernasowski,96
498,Katarzyna Bernat,11
499,Marcin Bernat,2
500,Krzysztof Berniak,22
501,Maciej Bero,1
502,Jan Beszłej,4
503,R. Betka,0
504,Michał Betlej,20
505,Przemysław Bezeg,1
506,Patryk Bezkosty,27
507,Yaroslav Bezyk,5
508,Sanket Bhiogade,0
509,Anna Białas,39
510,Franciszek Białas,11
511,Jarosław Białas,7
512,Jerzy Białas,3
513,Małgorzata Białas,70
514,Stanisław Białas,22
515,Wojciech Białas,13
516,Christian Białek,1
517,Justyna Białek,4
518,Kamil Bialik,1
519,Magdalena Bialik,1
